term,p-value,q-value
LINC01019,0.021253019669436757,0.2770592926472227
LINC01192,0.021253019669436757,0.2770592926472227
LINC01358,0.021253019669436757,0.2770592926472227
LINC00421,0.021253019669436757,0.2770592926472227
LINC02559,0.021253019669436757,0.2770592926472227
LINC01194,0.021253019669436757,0.2770592926472227
SLC9A3-AS1,0.046270860028907665,0.42470039383675967
PACRG-AS3,0.046270860028907665,0.42470039383675967
PTPRD-AS1,0.046270860028907665,0.42470039383675967
KCNIP2-AS1,0.046270860028907665,0.42470039383675967
SLC39A12-AS1,0.046270860028907665,0.42470039383675967
TMEM254-AS1,0.046270860028907665,0.42470039383675967
RNF144A-AS1,0.046270860028907665,0.42470039383675967
HHATL-AS1,0.046270860028907665,0.42470039383675967
PIK3CD-AS2,0.046270860028907665,0.42470039383675967
SLC6A1-AS1,0.046270860028907665,0.42470039383675967
ASIC4-AS1,0.046270860028907665,0.42470039383675967
TMEM72-AS1,0.046270860028907665,0.42470039383675967
LINC02018,0.046270860028907665,0.42470039383675967
TTC21B-AS1,0.046270860028907665,0.42470039383675967
LINC01202,0.046270860028907665,0.42470039383675967
LINC01971,0.046270860028907665,0.42470039383675967
LINC02338,0.046270860028907665,0.42470039383675967
LINC02616,0.046270860028907665,0.42470039383675967
LINC01109,0.046270860028907665,0.42470039383675967
LINC01235,0.046270860028907665,0.42470039383675967
LINC01838,0.046270860028907665,0.42470039383675967
LINC01028,0.046270860028907665,0.42470039383675967
LINC01916,0.046270860028907665,0.42470039383675967
LINC02003,0.046270860028907665,0.42470039383675967
KCND3-IT1,0.046270860028907665,0.42470039383675967
RASAL2-AS1,0.046270860028907665,0.42470039383675967
PTCHD1-AS,0.046270860028907665,0.42470039383675967
FZD10-AS1,0.046270860028907665,0.42470039383675967
UFL1-AS1,0.046270860028907665,0.42470039383675967
PACRG-AS1,0.046270860028907665,0.42470039383675967
SYNGAP1-AS1,0.046270860028907665,0.42470039383675967
TBC1D8-AS1,0.046270860028907665,0.42470039383675967
