	GeneID	Control_Rep1	Control_Rep2	sgRNA6_D3_Rep1	sgRNA6_D3_Rep2	sgRNA7_D3_Rep1	sgRNA7_D3_Rep2	sgRNA6_D5_Rep1	sgRNA6_D5_Rep2	sgRNA7_D5_Rep1	sgRNA7_D5_Rep2
4797	ENSG00000277958	2.29070770112704	6.72422639607847	6.91703302896111	2.77013588111919	1.17319139411054	1.81591633449208	3.6197135733495	0	3.46208166671769	2.39947070030631
4798	ENSG00000204406	1289.66843573452	1220.44709088824	2174.25404877011	2219.80221940351	2051.91174829933	1878.56544803205	1861.43770509498	1814.63077081036	1871.25514086091	1835.59508573432
4799	ENSG00000124260	116.826092757479	101.984100340523	459.982696425914	357.347528664375	546.70718965551	614.687679225568	454.274053455362	394.311486658316	446.608535006582	451.100491657586
4800	ENSG00000287464	3.43606155169056	5.60352199673206	0	2.77013588111919	1.17319139411054	0.907958167246038	0	3.32471742544954	4.32760208339711	0
4801	ENSG00000061936	1454.59939021567	1564.50334148759	1479.09222935952	1391.53159094887	1194.30883920453	1236.6390237891	1274.13917781902	1331.21685715	1319.05311501944	1334.10570937031
4802	ENSG00000102287	0	8.96563519477129	2.30567767632037	2.77013588111919	12.9051053352159	0	2.71478518001212	1.32988697017982	1.73104083335884	0
4803	ENSG00000229967	19.4710154595798	14.5691571915033	3.45851651448056	0.923378627039729	0	0.907958167246038	0.904928393337374	1.99483045526973	0.865520416679422	0
4804	ENSG00000285803	2.29070770112704	0	2.30567767632037	0	0	1.81591633449208	3.6197135733495	0	0.865520416679422	0
4805	ENSG00000249188	5.7267692528176	11.2070439934641	24.2096156013639	12.0039221515165	12.9051053352159	6.35570717072227	19.9084246534222	22.6080784930569	12.9828062501913	19.1957656024505
4806	ENSG00000144283	1696.26905268457	1781.91999496079	1627.80843948218	1443.2407940631	1527.49519513192	1277.49714131518	1568.24090565367	1487.47857614613	1565.72643377307	1590.84907430308
4807	ENSG00000160131	1565.69871372033	1553.29629749413	1361.50266786718	1868.91834112841	1561.51774556112	1625.24511937041	1704.88509304761	2271.44694506713	1870.38962044423	2284.2961066916
4808	ENSG00000280422	6.87212310338111	1.12070439934641	9.22271070528148	0.923378627039729	1.17319139411054	0	0.904928393337374	1.99483045526973	2.59656125003827	0
4809	ENSG00000261628	4.58141540225408	14.5691571915033	20.7510990868833	24.9312229300727	30.5029762468739	25.4228286828891	17.1936394734101	24.6029089483266	15.5793675002296	32.3928544541351
4810	ENSG00000251073	17.1803077584528	10.0863395941177	26.5152932776843	25.8546015571124	10.5587225469948	9.98753983970642	19.9084246534222	29.257513343956	17.3104083335884	17.9960302522973
4811	ENSG00000029993	691.793725740366	582.766287660134	481.886634350957	373.96834395109	490.394002738204	484.849661309384	646.118872842885	385.002277867057	598.074607925481	415.108431152991
4812	ENSG00000168944	568.095509879505	513.282614900656	510.707605304962	405.363217270441	601.847185178705	507.548615490535	582.773885309269	500.702444272701	563.453791258304	467.89678655973
4813	ENSG00000251076	1.14535385056352	0	2.30567767632037	0.923378627039729	2.34638278822107	0	1.80985678667475	0.664943485089909	0.865520416679422	0
4814	ENSG00000035403	2286.12628572478	2230.20175469936	3737.50351331532	3097.01191509125	3738.96097303028	4244.70443187523	3244.16829011449	3193.05861540174	3447.36781963414	3138.50767600065
4815	ENSG00000227973	0	7.84493079542488	13.8340660579222	7.38702901631783	12.9051053352159	9.07958167246038	5.42957036002424	0.664943485089909	11.2517654168325	1.19973535015315
4816	ENSG00000013619	174.093785285655	164.743546703922	390.812366136303	150.510716207476	373.07486332715	236.977081651216	432.555772015265	127.669149137263	476.036229173682	158.365066220216
4817	ENSG00000235703	89.3376003439545	96.3805783437914	80.698718671213	85.8742123146948	43.4080815820898	62.6491135399766	75.109056647002	92.4271444274973	57.9898679175213	61.1865028578108
