"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName","threshold"
"ENSG00000006459",1406.83941133086,1.36537021308585,0.135447943394728,10.0804056441583,6.74470947068464e-24,1.461278777432e-21,1.461278777432e-21,TRUE
"ENSG00000273079",36.8403718043103,-4.09394911164628,0.407106886656984,-10.0562020585413,8.62621794442496e-24,1.84838048020156e-21,1.84838048020156e-21,TRUE
"ENSG00000180573",1073.84907683078,-1.92039069976566,0.191762074279615,-10.0144447591106,1.3169932581277e-23,2.76129586454107e-21,2.76129586454107e-21,TRUE
"ENSG00000241316",612.140063856043,2.25647482794522,0.225382316193096,10.011765191072,1.35316273067106e-23,2.80694894525054e-21,2.80694894525054e-21,TRUE
"ENSG00000129993",41.5364859701485,-3.72763453379646,0.37347106875675,-9.9810530068779,1.84498265267776e-23,3.78687544679617e-21,3.78687544679617e-21,TRUE
"ENSG00000068366",1509.78283534044,2.06860186059519,0.208117605276496,9.93958131435797,2.80001503424571e-23,5.68723887007886e-21,5.68723887007886e-21,TRUE
"ENSG00000132294",2020.02252329601,1.39209415021994,0.140566494267196,9.90345642094317,4.02131590395287e-23,8.08367410424505e-21,8.08367410424505e-21,TRUE
"ENSG00000170627",1251.18344230522,1.50064177535027,0.151700107393466,9.89216027024978,4.50206152657353e-23,8.95772425578136e-21,8.95772425578136e-21,TRUE
"ENSG00000076043",806.897039925086,1.65094691371773,0.167457098632763,9.85892462724613,6.27174824062878e-23,1.23528099943455e-20,1.23528099943455e-20,TRUE
"ENSG00000135596",2512.30695539711,-1.35040047306094,0.137137252281059,-9.84707255395008,7.05694967085145e-23,1.37603461631932e-20,1.37603461631932e-20,TRUE
"ENSG00000161057",3563.88036078782,1.36985135514712,0.139743236439139,9.80263081099969,1.09690825049596e-22,2.11768455212086e-20,2.11768455212086e-20,TRUE
"ENSG00000148154",3215.46426267271,-1.24246007861873,0.12687850046571,-9.79251862260554,1.21237604935783e-22,2.31765888102238e-20,2.31765888102238e-20,TRUE
"ENSG00000126016",291.876038181852,1.71800112112958,0.175462934500411,9.79124808336977,1.22770952948402e-22,2.32418525392319e-20,2.32418525392319e-20,TRUE
"ENSG00000082293",2254.72206165576,1.30432891708357,0.133633140032667,9.76051985880687,1.66300550197858e-22,3.11797541183466e-20,3.11797541183466e-20,TRUE
"ENSG00000038382",7156.00508698974,-1.02193947162551,0.105620035850759,-9.67562132879322,3.82759514148961e-22,7.04096959093451e-20,7.04096959093451e-20,TRUE
"ENSG00000101966",1263.45324573868,1.56425072030825,0.161953696212289,9.65862932981675,4.51869145208582e-22,8.23457613310481e-20,8.23457613310481e-20,TRUE
